GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US17,17,Illinois,0400000US17,17,Illinois,Illinois,12830632,5296715,57913.55,2394.62,55518.93,231.1,95.4
0400000US17,17,Illinois,1600000US1700113,1700113,"Illinois - PLACE - Abingdon city, Knox County","Abingdon city, Knox County",3319,1453,1.46,0,1.46,2275.7,996.3
0400000US17,17,Illinois,1600000US1700178,1700178,"Illinois - PLACE - Adair CDP, McDonough County","Adair CDP, McDonough County",210,96,0.43,0,0.43,488.8,223.4
0400000US17,17,Illinois,1600000US1700230,1700230,"Illinois - PLACE - Addieville village, Washington County","Addieville village, Washington County",252,111,1.05,0,1.05,239.3,105.4
0400000US17,17,Illinois,1600000US1700243,1700243,"Illinois - PLACE - Addison village, DuPage County","Addison village, DuPage County",36942,12581,9.98,0.21,9.77,3781.9,1288
0400000US17,17,Illinois,1600000US1700295,1700295,"Illinois - PLACE - Adeline village, Ogle County","Adeline village, Ogle County",85,40,0.26,0,0.26,322.5,151.8
0400000US17,17,Illinois,1600000US1700516,1700516,"Illinois - PLACE - Albany village, Whiteside County","Albany village, Whiteside County",891,417,1.07,0,1.07,831.5,389.1
0400000US17,17,Illinois,1600000US1700555,1700555,"Illinois - PLACE - Albers village, Clinton County","Albers village, Clinton County",1190,423,0.85,0,0.85,1407.1,500.2
0400000US17,17,Illinois,1600000US1700568,1700568,"Illinois - PLACE - Albion city, Edwards County","Albion city, Edwards County",1988,977,2.2,0.05,2.15,924.8,454.5
0400000US17,17,Illinois,1600000US1700646,1700646,"Illinois - PLACE - Aledo city, Mercer County","Aledo city, Mercer County",3640,1677,2.39,0.01,2.38,1531,705.4
0400000US17,17,Illinois,1600000US1700672,1700672,Illinois - PLACE - Alexis village,Alexis village,831,386,0.47,0,0.47,1750.7,813.2
0400000US17,17,Illinois,1550000US1700672131,1700672131,Illinois - PLACE - Alexis village - Mercer County (part),Mercer County (part),333,147,0.18,0,0.18,1900.6,839
0400000US17,17,Illinois,1550000US1700672187,1700672187,Illinois - PLACE - Alexis village - Warren County (part),Warren County (part),498,239,0.3,0,0.3,1663,798.1
0400000US17,17,Illinois,1600000US1700685,1700685,Illinois - PLACE - Algonquin village,Algonquin village,30046,10727,12.41,0.18,12.23,2457.6,877.4
0400000US17,17,Illinois,1550000US1700685089,1700685089,Illinois - PLACE - Algonquin village - Kane County (part),Kane County (part),8433,2810,2.85,0.02,2.83,2980.9,993.3
0400000US17,17,Illinois,1550000US1700685111,1700685111,Illinois - PLACE - Algonquin village - McHenry County (part),McHenry County (part),21613,7917,9.56,0.16,9.4,2300,842.5
0400000US17,17,Illinois,1600000US1700737,1700737,"Illinois - PLACE - Alhambra village, Madison County","Alhambra village, Madison County",681,253,0.77,0.01,0.76,899.7,334.2
0400000US17,17,Illinois,1600000US1700815,1700815,"Illinois - PLACE - Allendale village, Wabash County","Allendale village, Wabash County",475,204,0.31,0,0.31,1539.6,661.2
0400000US17,17,Illinois,1600000US1700867,1700867,"Illinois - PLACE - Allenville village, Moultrie County","Allenville village, Moultrie County",148,73,0.58,0,0.58,254.9,125.7
0400000US17,17,Illinois,1600000US1700880,1700880,Illinois - PLACE - Allerton village,Allerton village,291,124,0.68,0,0.68,428.7,182.7
