GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US17,17,Illinois,0500000US17077,17077,Illinois - Jackson County,Jackson County,60218,28578,602.38,18.3,584.08,103.1,48.9
0400000US17,17,Illinois,0500000US17079,17079,Illinois - Jasper County,Jasper County,9698,4345,498.12,3.61,494.51,19.6,8.8
0400000US17,17,Illinois,0500000US17081,17081,Illinois - Jefferson County,Jefferson County,38827,16954,583.78,12.62,571.17,68,29.7
0400000US17,17,Illinois,0500000US17083,17083,Illinois - Jersey County,Jersey County,22985,9848,377.13,7.86,369.27,62.2,26.7
0400000US17,17,Illinois,0500000US17085,17085,Illinois - Jo Daviess County,Jo Daviess County,22678,13574,618.73,17.64,601.09,37.7,22.6
0400000US17,17,Illinois,0500000US17087,17087,Illinois - Johnson County,Johnson County,12582,5598,348.86,4.95,343.92,36.6,16.3
0400000US17,17,Illinois,0500000US17089,17089,Illinois - Kane County,Kane County,515269,182047,524.2,4.14,520.06,990.8,350.1
0400000US17,17,Illinois,0500000US17091,17091,Illinois - Kankakee County,Kankakee County,113449,45246,681.36,4.81,676.56,167.7,66.9
0400000US17,17,Illinois,0500000US17093,17093,Illinois - Kendall County,Kendall County,114736,40321,322.32,1.98,320.34,358.2,125.9
0400000US17,17,Illinois,0500000US17095,17095,Illinois - Knox County,Knox County,52919,24077,719.81,3.42,716.39,73.9,33.6
0400000US17,17,Illinois,0500000US17097,17097,Illinois - Lake County,Lake County,703462,260310,1368.48,924.81,443.67,1585.6,586.7
0400000US17,17,Illinois,0500000US17099,17099,Illinois - LaSalle County,LaSalle County,113924,49978,1148.14,13.01,1135.12,100.4,44
0400000US17,17,Illinois,0500000US17101,17101,Illinois - Lawrence County,Lawrence County,16833,6936,374.14,1.96,372.18,45.2,18.6
0400000US17,17,Illinois,0500000US17103,17103,Illinois - Lee County,Lee County,36031,15049,728.95,4.06,724.9,49.7,20.8
0400000US17,17,Illinois,0500000US17105,17105,Illinois - Livingston County,Livingston County,38950,15895,1045.93,1.64,1044.29,37.3,15.2
0400000US17,17,Illinois,0500000US17107,17107,Illinois - Logan County,Logan County,30305,12107,618.93,0.87,618.06,49,19.6
0400000US17,17,Illinois,0500000US17109,17109,Illinois - McDonough County,McDonough County,32612,14419,590.18,0.78,589.41,55.3,24.5
0400000US17,17,Illinois,0500000US17111,17111,Illinois - McHenry County,McHenry County,308760,116040,610.81,7.64,603.17,511.9,192.4
