Zip Code,Mall,numstores,shopping_style,apparel,Shoes,Accessories,Jewelry,ToysGames,Books,Cosmetics,Electronics,FitnessSports,Housewares,buyfood,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Morning,mid,lateafter,evening,Nopref,Alone,with_family,With_friends,Myself,For_family,For_friends,depends,gender,age,income,family_type
60062,north,Four Stores and More,Deals,1,1, , , , , , , , ,No, , , , , ,1,1, , ,1, , , , ,1, , , ,1,Male,55-64,100K - 149K,single no kids
60062,north,Four Stores and More,Fun, ,1, , ,1, , , , , ,Yes, , , , , ,1,1, , , , ,1, ,1, , , , ,1,Female,35-44,> 200K,married kids
60062,north,Four Stores and More,Deals,1, , , , , , , , , ,Yes,1, , , , , ,1, ,1, , , , , ,1,1, , , ,Female,26-34,30K - 59K,single no kids
60062,north,Two or Three Stores,Deals,1,1, ,1, , , , ,1, ,No, , ,1,1, ,1, , ,1, , , ,1, , ,1, , , ,Female,35-44,100K - 149K,married kids
60062,north,Two or Three Stores,Trends,1, , , , , , , , , ,No, , , ,1,1, , , ,1, , , ,1, , ,1, , , , ,35-44,150K-200K,married kids
60062,north,Four Stores and More,Trends,1, , ,1, , ,1, , , ,No, , , ,1,1, , , , , , ,1,1,1, ,1, ,1, ,Female,18-25,< 30K,married no kids
60062,north,Two or Three Stores,Know,1, , , ,1, ,1, ,1, ,No, ,1, ,1,1,1,1,1, , , , ,1, , , ,1, , ,Female,45-54,150K-200K,married kids
60062,north,Four Stores and More,Trends,1, , , , , , , , , ,Yes, ,1,1,1,1,1,1,1, , , , ,1, , , ,1, , ,Female,45-54,100K - 149K,married kids
60062,north,Four Stores and More,Deals,1, , , , , , , , , ,Yes, ,1,1, , , , , , ,1, , ,1, , ,1, , , , ,65-74,60K-99K,single no kids
60062,north,Four Stores and More,Fun,1,1, , , , , , , , ,Yes,1, , , ,1,1, , ,1, , , , , ,1, , , ,1,Male,26-34,60K-99K,single no kids
60062,north,Four Stores and More,Deals,1, ,1, , , , , , ,1,Yes, , , , , ,1,1, , ,1, , , ,1, , , , ,1,Female,55-64,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1,1,1, , , ,1, , , ,No, , , ,1,1,1,1, ,1, , ,1,1, , ,1, , , ,Female,65-74,60K-99K,"Life partner, no kids"
60062,north,Four Stores and More,Trends,1, ,1, , , ,1, , , ,Yes, , , , ,1, ,1, , ,1, , ,1, , ,1, , , ,Female,55-64,> 200K,married no kids
60062,north,Four Stores and More,Deals,1,1,1,1, , ,1, , ,1,Yes,1, ,1, ,1,1,1, , ,1, , , ,1, , ,1, , ,Female,45-54,100K - 149K,married kids
60062,north,Four Stores and More,Fun,1,1,1,1, , ,1, , ,1,Yes, ,1, , ,1,1, , ,1,1, , ,1, , ,1, , , ,Female,26-34,60K-99K,single no kids
60062,north,Two or Three Stores,Trends,1, ,1, , , ,1, , , ,Yes,1, , ,1,1,1,1, ,1, , , ,1, , , , , ,1,Female,18-25,< 30K,single no kids
60062,north,Two or Three Stores,Fun,1, ,1, , , ,1, , , ,Yes, , , ,1, , , ,1, , , , , , ,1,1, , , ,Female,65-74,100K - 149K,married kids
60062,north,Four Stores and More,Deals,1,1,1,1, , ,1, , , ,Yes,1, , , , , ,1, ,1, , , ,1, , ,1, , , ,Female,55-64,60K-99K,single kids
60062,north,Four Stores and More,Trends,1, , , , , ,1, , , ,Yes,1, , , , ,1,1, ,1, , , , ,1, , , , ,1,Female,45-54,60K-99K,single kids
60062,north,Four Stores and More,Trends,1,1,1, , , ,1, ,1, ,Yes,1, , , ,1,1, , , , , ,1, , ,1,1,1, , ,Female,55-64,150K-200K,married kids
60062,north,Two or Three Stores,Know,1,1, , , , ,1, , , ,No,1, , ,1, , ,1, , ,1,1, ,1, , , , , ,1,Female,55-64, ,married kids
60062,north,Two or Three Stores,Deals,1, , , , , , ,1, , ,Yes, , ,1,1,1,1,1,1,1,1, , ,1, , ,1, , , ,Male,18-25,30K - 59K,single no kids
60062,north,Four Stores and More,Trends,1, , , , , , , , ,1,No, , , , , , ,1, , ,1, , , ,1, ,1,1, , ,Female,35-44,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1,1, , , , ,1, , , ,No,1,1,1,1,1,1,1, , ,1,1, , ,1, ,1,1, , ,Female,18-25,< 30K,single no kids
60062,north,Four Stores and More,Deals,1,1, , , , , , , , ,No,1, , , ,1, , , , ,1, , ,1, , ,1, , , ,Female,18-25,60K-99K,single no kids
60062,north,Two or Three Stores,Trends,1,1,1, , , ,1,1, ,1,Yes, ,1,1,1, , ,1, , , , ,1,1, , , , , ,1,Female,55-64,100K - 149K,married kids
60062,north,Two or Three Stores,Deals,1, , , ,1, , , , , ,Yes,1, , ,1, , , , ,1, , , ,1, , ,1, , ,1, ,65-74,100K - 149K,single no kids
60062,north,Two or Three Stores,Trends,1, ,1,1, , , , ,1,1,Yes,1, , , , , ,1, ,1, , , , ,1, , ,1, , ,Female,45-54,60K-99K,married kids
60062,north,Four Stores and More,Deals,1,1, , , , , ,1, ,1,Yes, , , ,1, ,1, , ,1, , , , ,1, ,1, , ,1,Female,45-54,30K - 59K,single kids
60062,north,Two or Three Stores,Fun,1, , , , , ,1, , , ,No,1,1,1,1,1,1, , ,1, , , ,1, , , , , ,1,Female,75 +,30K - 59K,single kids
60062,north,Two or Three Stores,Know,1, , , , , ,1, , , ,Yes,1,1,1, ,1, , , ,1, , , , ,1, ,1, , , , ,45-54,> 200K,married kids
60062,north,Two or Three Stores,Trends,1, , , ,1, ,1, , , ,Yes, , , , , ,1,1, ,1,1, , ,1,1, ,1,1, ,1,Female,45-54,100K - 149K,married kids
60062,north,Two or Three Stores,Deals,1,1,1, , , , ,1, , ,Yes,1, , , ,1, , , , ,1,1, ,1, , ,1, , , ,Male,45-54,60K-99K,married no kids
60062,north,Two or Three Stores,Deals,1, , , ,1, , , , , ,Yes,1, , , , , ,1, , , , ,1,1,1,1, ,1, ,1,Female,35-44,100K - 149K,married kids
60062,north,Two or Three Stores,Trends,1, ,1, , , ,1, , ,1,Yes,1,1,1,1,1,1,1, , , , , ,1, , ,1, , , , ,55-64,> 200K,married kids
60062,north,Two or Three Stores,Trends,1, ,1,1, , ,1, , , ,Yes, , ,1, , , , , , , ,1, ,1, , , , , ,1,Female,45-54,60K-99K,married kids
60062,north,One Store,Know,1, , , , , , , , , ,No,1, , ,1, ,1, , , , , ,1,1, , , , , ,1,Female,55-64, ,married kids
60062,north,Two or Three Stores,Deals, ,1, , , , ,1, , , ,Yes,1, , , , , ,1, ,1, , , , ,1, , , , ,1,Female,35-44, ,married kids
60062,north,One Store,Deals,1, , , , , ,1, , , ,No, ,1, ,1, , , , ,1, , , , ,1, , ,1, , ,Female,35-44,30K - 59K,married kids
60062,north,Two or Three Stores,Deals,1,1,1,1, , ,1,1, , ,Yes,1, , , ,1,1,1, ,1,1,1, ,1,1,1,1, , ,1,Female,18-25,60K-99K,single no kids
60062,north,Two or Three Stores,Trends,1, , , , , , , , , ,Yes,1,1,1,1,1,1,1, ,1, , , ,1, , ,1, , , ,Female,18-25,60K-99K,single no kids
60062,north,Two or Three Stores,Deals,1, , , , , , , , ,1,Yes, ,1, ,1,1, , , , , , ,1, , ,1, , , ,1,Female,45-54, ,married kids
60062,north,Two or Three Stores,Deals,1,1,1, , , ,1, , , ,Yes,1, , , , , ,1, ,1, , , , ,1, , , , ,1,Female,35-44, ,married kids
60062,north,Four Stores and More,Trends,1, , , , , ,1,1,1, ,Yes, , , , ,1,1,1, , , , , , , , , ,1, ,1,Female,18-25,100K - 149K,single no kids
60062,north,Four Stores and More,Know,1, ,1, , , ,1, ,1, ,Yes,1,1,1,1,1,1,1, , , , ,1, ,1, , ,1, , ,Female,45-54,> 200K,married kids
60062,north,Two or Three Stores,Deals,1,1,1, ,1,1, , , , ,Yes,1, , , , ,1,1,1, , , , , ,1,1,1,1,1,1,Female,35-44,30K - 59K,single kids
60062,north,Four Stores and More,Fun,1,1,1,1, , ,1, , , ,Yes,1, , , , ,1,1, ,1,1, , , ,1, , ,1,1, ,Female,18-25,100K - 149K,married kids
60062,north,Two or Three Stores,Trends,1,1, , , , ,1, , , ,Yes, , , , ,1, , , ,1, , , ,1, , ,1,1, , ,Female,75 +,30K - 59K,married kids
60062,north,Four Stores and More,Fun,1, , , ,1,1, , , , ,Yes,1,1,1,1,1,1,1, ,1,1,1, , , ,1,1,1, , ,Male,18-25,< 30K,"Life partner, no kids"
60062,north,Four Stores and More,Fun,1, ,1, ,1, , , , , ,Yes,1, , , , ,1,1, ,1,1, , , ,1, , ,1, , ,Male,35-44,150K-200K,married kids
60062,north,Two or Three Stores,Know,1, , , , , , , , ,1,Yes,1, , , , ,1, , ,1, , , ,1, , , , , ,1,Female,55-64,100K - 149K,married kids
60062,north,Two or Three Stores,Deals,1, , ,1, , , , , , ,No,1,1,1,1, , ,1, , , , ,1,1, , ,1, , , ,Female,26-34,100K - 149K,single no kids
60062,north,Four Stores and More,Deals,1, ,1,1,1, ,1, , , ,Yes, ,1,1,1,1,1,1, , , , ,1, , ,1, , , ,1,Female,35-44,30K - 59K,single no kids
60062,north,Four Stores and More,Deals, , ,1, ,1,1, , , , ,Yes,1, , , , , , ,1, , , , , ,1, ,1, , ,1,Female,18-25,60K-99K,married kids
60062,north,Four Stores and More,Deals, , , , , , , , , ,1, , , , ,1, , , , ,1, , , , ,1, , ,1, , ,Male,45-54,60K-99K,married no kids
60062,north,Two or Three Stores,Deals, , , , , , , ,1, , ,Yes, , , , , , ,1, , ,1, , , ,1, ,1,1, , ,Male,26-34,100K - 149K,married no kids
60062,north,Two or Three Stores,Know,1,1,1,1,1,1,1,1, ,1,No, , ,1,1, , , , ,1, , , , ,1, , ,1, , ,Male,75 +,> 200K,married no kids
60062,north,Two or Three Stores,Know,1,1, , , , ,1, , , ,No, ,1,1,1, , , , , , , ,1,1, , ,1, , , ,Female,18-25,< 30K,single no kids
60062,north,Two or Three Stores,Deals,1,1,1, , , ,1, , , ,Yes,1, , ,1, ,1,1, ,1, ,1, , ,1, , ,1, , ,Female,45-54, ,married kids
60062,north,Two or Three Stores,Deals,1,1,1, , , , , , , ,Yes, , ,1,1,1,1,1, , , , ,1,1, , ,1, , ,1,Female,18-25,30K - 59K,single no kids
60062,north,Four Stores and More,Deals, , ,1, , , , ,1, , ,Yes, , , ,1, ,1, ,1, , , , , ,1, , , , ,1,Male,45-54,60K-99K,married no kids
60062,north,Four Stores and More,Deals,1,1,1, , , ,1, , , ,Yes,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,Female,35-44,100K - 149K,married kids
60062,north,Four Stores and More,Deals,1,1, ,1, , ,1, , ,1,Yes, , , ,1,1, , , , , , ,1,1, , , , , ,1,Female,45-54,60K-99K,single kids
60062,north,Four Stores and More,Deals,1, ,1, , , , , , , ,Yes,1, , , , , ,1, ,1, , , ,1, , , , , ,1,Female,18-25,100K - 149K,single no kids
60062,north,Four Stores and More,Deals,1, , , ,1, , ,1, , ,No, ,1,1,1,1,1, , ,1,1, , , ,1,1,1, , , ,Male,18-25,< 30K,single no kids
60062,north,Four Stores and More,Trends,1, ,1, ,1, ,1, , , ,Yes, , , ,1,1, , , , , , ,1,1, , , , , ,1,Female,75 +,> 200K,married kids
60062,north, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Male,35-44,> 200K,married kids
60062,north,Two or Three Stores,Trends,1, ,1, , , ,1, , , ,No,1, , , , ,1,1, , , , ,1,1, , , , , ,1,Female,35-44,60K-99K,married kids
60062,north,Four Stores and More,Trends,1, , , , , ,1, , , ,Yes, , , , , , ,1, ,1, , , ,1,1, , , , ,1,Female,35-44,> 200K,married kids
60062,north,Four Stores and More,Fun, ,1, , ,1,1,1, , ,1,Yes, ,1,1, , , , ,1, , , , ,1, , ,1, , , ,Female,45-54, ,married kids
60062,north,Four Stores and More,Deals,1, , , , , ,1, , , ,Yes,1, , , , ,1,1, , , ,1, , , ,1, , , ,1,Female,26-34,100K - 149K,married no kids
60062,north,Four Stores and More,Know,1, ,1, , , ,1,1, , ,No, , , , , , , , ,1, , , ,1, , ,1, , , ,Female,18-25,150K-200K,single no kids
60062,north,Two or Three Stores, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Female,55-64,60K-99K,single no kids
60062,north,Two or Three Stores,Deals,1, , , ,1, , , , , ,Yes, , , , , , ,1,1, , , , , ,1, , ,1, , ,Female,45-54,60K-99K,married kids
60062,north,Four Stores and More,Deals,1,1,1, , , , , , , ,Yes,1, , , , ,1,1, , ,1, , , ,1,1,1,1,1,1,Female,26-34,60K-99K,single no kids
60062,north,Friends,Fun, ,1, ,1, , , , ,1,1,Yes, ,1, , ,1,1, , ,1, , , , ,1,1,1,1,1, ,Male,35-44,< 30K,single no kids
60062,north,Four Stores and More,Deals,1, , , ,1, ,1, , ,1,Yes, , , ,1, ,1, , , , , ,1, ,1,1, , , ,1,Female,35-44,60K-99K,married no kids
60062,north,One Store,Deals,1,1, , , , ,1, , , ,No,1, , , , , ,1, ,1, , , ,1, , , , , ,1,Female,45-54,150K-200K,married kids
60062,north,One Store,Deals, , ,1, , , , , , , ,Yes, , , ,1, , ,1, , , ,1, , ,1,1,1,1, , ,Female,45-54,< 30K,single kids
60062,north,Two or Three Stores,Know, , ,1, , , , ,1, , ,No, , , , , , ,1,1, , , , ,1, , ,1, , , ,Male,55-64,> 200K,married kids
60062,north,Four Stores and More,Deals,1,1,1, , , , , , , ,No, , , , ,1,1, , ,1, , , ,1, , ,1, , , ,Female,18-25,30K - 59K,single no kids
60062,north,Two or Three Stores,Deals,1, , , , , , , , , ,Yes, , , ,1, ,1, , ,1, , , , ,1, , ,1, , ,Female,45-54,> 200K,married kids
60062,north,Four Stores and More,Deals,1,1,1, , , , , , , ,No,1, , , , , ,1, , , , ,1, ,1, , , , ,1,Female,35-44,60K-99K,single no kids
60062,north,Two or Three Stores,Fun,1,1, , , , , , , , ,Yes, ,1, , , , , , ,1, , , ,1, , ,1, , , ,Female,55-64,150K-200K,married kids
60062,north,Two or Three Stores,Deals,1, , , , , ,1, , , ,Yes,1, , , , , ,1,1, , , , , , ,1,1, , , ,Female,55-64, ,married kids
60062,north,Two or Three Stores,Deals,1, , , , , , ,1, ,1,No, , ,1,1, , , , , , , ,1,1, , ,1, , ,1,Male,55-64,100K - 149K,married no kids
60062,north, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60062,north,Two or Three Stores,Deals,1, , , , , , ,1, , ,Yes,1, , , , , , , , , , ,1, , , , ,1, , ,Male,45-54,150K-200K,married kids
60062,north,Two or Three Stores,Deals,1,1,1,1, , ,1, , , ,No, , ,1, , ,1,1,1, , , , ,1, , ,1, , , ,Female,35-44,100K - 149K,married no kids
60062,north,Four Stores and More,Deals,1, , , , ,1, ,1, , ,Yes,1, , , , , ,1, , ,1, , ,1, , ,1, , , ,Male,45-54,60K-99K,married kids
60062,north,Two or Three Stores,Trends,1, , , , , , , , , ,Yes, , ,1, ,1, ,1, , , ,1, ,1, , , ,1, , ,Female,45-54,150K-200K,married kids
60062,north,Four Stores and More,Deals,1,1, , , , ,1, , , ,Yes,1, , , , , ,1, ,1, , , ,1, , ,1, , , ,Female,35-44,> 200K,married kids
60062,north,Two or Three Stores,Know,1, , , ,1, , , , ,1,Yes, , , , , ,1, , ,1, , , ,1, , ,1,1, , ,Female,35-44,150K-200K,married kids
60062,north,Four Stores and More,Deals,1,1,1, , , , , , , ,Yes,1, , , , , ,1, ,1,1,1, , ,1, , ,1, ,1,Female,35-44,100K - 149K,married kids
60062,north,Two or Three Stores,Trends,1, , , , , , , , , ,No, ,1, , ,1, , ,1, , , , ,1, , , ,1, , ,Female,55-64,> 200K,married kids
60062,north,Four Stores and More,Deals,1,1, , ,1, ,1, , , ,Yes, , , , , , ,1, , ,1,1, , ,1, ,1,1, , ,Female,45-54,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1,1,1,1, , ,1, , , ,Yes,1,1,1,1,1,1,1, , , ,1, ,1, , , , , ,1,Female,55-64,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1, , , , , , , , , ,Yes,1, , , , , ,1,1, , , , ,1, , ,1, , , ,Female,55-64, ,married no kids
60062,north,Four Stores and More,Fun,1,1,1, , , ,1,1, ,1,No,1,1, ,1, ,1,1, , ,1, , , ,1, , ,1, , ,Female,35-44,> 200K,married kids
60062,north,Friends,Deals,1, , , , , , , , , ,No, ,1,1, , , , , ,1, , , , , ,1,1, , , ,Female,45-54, ,married kids
60062,north,One Store,Trends,1, , , , , , , , , ,Yes, , ,1,1, , , , ,1, , , ,1, , ,1, , , , ,26-34,< 30K,single no kids
60062,north,Four Stores and More,Fun,1,1,1,1, , , , , , ,Yes,1, , , , , ,1, ,1,1, , , ,1,1,1, ,1, ,Female,13-17,> 200K,married kids
60062,north,Four Stores and More,Deals,1, , , , , ,1,1, , ,Yes,1,1,1,1,1,1,1, ,1, , , , , ,1, , , ,1,Female,35-44,150K-200K,married kids
60062,north,Two or Three Stores,Know,1, , , , , , , , , ,No, ,1,1, , , , , ,1, , , ,1, , ,1, , , , ,75 +,100K - 149K,married kids
60062,north, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60062,north,Four Stores and More,Fun,1, ,1, , , ,1, , , ,Yes,1, , , , , , , ,1, , , , ,1, , ,1, , ,Female,45-54,150K-200K,married kids
60062,north,Two or Three Stores,Know,1, , , , , ,1, , ,1,No,1,1,1,1,1,1,1, , ,1,1, , ,1, , , , ,1,Male,65-74,150K-200K,married kids
60062,north,Two or Three Stores,Know,1, , , , , , , , , ,Yes, , ,1, , , ,1, , , ,1, , , ,1,1, , , ,Male,55-64,100K - 149K,single kids
60062,north,Four Stores and More,Deals,1, , , , , , , , , ,Yes,1, , , , , ,1, , ,1, , , ,1, , , , ,1,Male,55-64,100K - 149K,"Life partner, no kids"
60062,north,Two or Three Stores,Deals,1, ,1,1, , ,1, , ,1,Yes,1,1, , ,1, ,1, , ,1, , ,1,1, ,1,1, , ,Female,55-64,150K-200K,single kids
60062,north,Four Stores and More,Trends,1, ,1,1, , ,1, , , ,Yes,1, , , , , ,1,1, , , , , ,1, ,1, , , ,Female,55-64, ,Life partner kids
60062,north, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60062,north,One Store,Know, , , , , , , ,1, , ,Yes, , , , , , ,1, ,1, , , ,1, , ,1, , , ,Male,45-54,< 30K,single kids
60062,north,Two or Three Stores,Deals,1, ,1, , , , , , , ,Yes, , ,1, ,1, , ,1, , , , ,1, , , , , ,1,Female,55-64,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1,1, , , , ,1, , , ,Yes,1,1,1,1,1,1, ,1, , , , ,1, , ,1, , ,1,Female,55-64,100K - 149K,single no kids
60062,north,Two or Three Stores,Know,1, , , , , , , ,1,1,No, ,1, ,1,1, , ,1, , , , ,1, , ,1, , , ,Female,45-54,150K-200K,married kids
60062,north,Two or Three Stores,Deals, , , , , , , , , , ,No, , , , ,1,1, , , , ,1, ,1, , , , , ,1, ,45-54,30K - 59K,single no kids
60062,north,Two or Three Stores,Trends,1, , , , , ,1,1, , ,Yes,1, , , , , ,1, , ,1, , , ,1, ,1,1, , ,Female,45-54,100K - 149K,married kids
60062,north,Two or Three Stores,Fun,1,1, , , , ,1, ,1,1,No,1, , ,1, ,1,1, ,1,1, , ,1, , ,1,1, , ,Female,55-64,100K - 149K,married kids
60062,north,Four Stores and More,Deals, ,1,1, , ,1,1, ,1, ,Yes,1, , , , , ,1,1,1, , , , , ,1,1, , ,1,Male,55-64, ,single no kids
60062,north,Two or Three Stores,Deals,1, ,1,1, , ,1, , , ,Yes,1, , , ,1, ,1, , ,1,1, ,1, , ,1, , , ,Female,18-25,100K - 149K,single no kids
60062,north,Two or Three Stores,Deals,1,1,1, ,1, ,1,1, , ,Yes, ,1,1,1,1,1, ,1, , , , , ,1,1, ,1, , ,Female,35-44,> 200K,married kids
60062,north,Two or Three Stores,Deals,1,1,1,1, , , , , , ,No,1,1,1,1,1,1,1, ,1, , , ,1, , ,1, , , ,Female,45-54,100K - 149K,married kids
60062,north,Four Stores and More,Trends,1, , , , , ,1, , , ,No, , , , ,1,1,1, ,1,1, , ,1, , ,1, , , ,Female,45-54,100K - 149K,married kids
60062,north,Two or Three Stores,Know,1, , , , , , , , , ,Yes, , ,1, , , , ,1, , , , ,1, , , , , , ,Female,55-64,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1, , , , , , , , , , , ,1, , ,1, , ,1, , , , ,1, , , ,1, , ,Female,75 +,30K - 59K,single kids
60062,north,Four Stores and More,Know,1,1, , , , , , ,1, ,Yes, , ,1, , , ,1, , , ,1, , ,1, , ,1, , ,Male,35-44, ,married kids
60062,north,Four Stores and More,Fun,1,1, , , , , , ,1, ,Yes,1, , ,1, , , , ,1, , , ,1,1, , , , ,1,Female,35-44,100K - 149K,married kids
60062,north,Four Stores and More,Deals,1,1, , , , , , , ,1,Yes,1, , , , , , , , , , ,1, ,1,1,1, , , , ,35-44,60K-99K,married kids
60062,north,Two or Three Stores,Deals,1, , , , , ,1, , ,1,Yes, , ,1, ,1, , , ,1, , , ,1, , , ,1, ,1,Female,45-54,60K-99K,married kids
60062,north,Four Stores and More,Trends,1,1, , , , , , , , ,Yes, ,1, ,1, ,1, , ,1, , , , ,1, , , , ,1,Female,26-34,30K - 59K,married kids
